9,8,6
9,10,6
9,1,6
-1
11,8,5
11,2,5
11,1,5
-1
9,5,2
9,1,2
9,8,2
-1
4,5,1
4,8,1
4,2,1
-1
9,8,12
9,1,12
9,5,12
-1
8,5,7
8,4,7
8,6,7
-1
2,8,4
2,6,4
2,5,4
-1
1,5,13
1,4,13
1,8,13
-1
11,10,9
11,12,9
11,8,9
-1
6,8,4
6,2,4
6,5,4
-1
5,8,6
5,2,6
5,1,6
-1
6,3,11
6,8,11
6,4,11
-1
10,1,2
10,5,2
10,13,2
-1
13,5,8
13,2,8
13,4,8
-1
10,5,8
10,6,8
10,1,8
-1
3,6,10
3,8,10
3,4,10
-1
5,8,10
5,9,10
5,4,10
-1
12,6,5
12,2,5
12,8,5
-1
8,4,2
8,6,2
8,5,2
-1
6,2,12
6,8,12
6,4,12
-1
2,8,6
2,5,6
2,4,6
-1
12,8,4
12,6,4
12,2,4
-1
3,8,13
3,4,13
3,1,13
-1
1,5,12
1,8,12
1,4,12
-1
11,8,10
11,6,10
11,1,10
-1
6,8,1
6,2,1
6,5,1
-1
2,8,10
2,4,10
2,1,10
-1
7,5,13
7,8,13
7,4,13
-1
