32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3492.646,0.356,0.383,0.34,0.328,0.35,0.315,0.343,0.335,0.388,0.315,0.548,0.493,0.274,0.22,0.167,0.2,0.225,0.418,0.378,0.449,0.22,0.323,0.53,0.282,0.203,0.061,0.243,0.296,0.378
0.0,3492.646,0.0,3492.631,3492.69,3492.669,3492.703,3492.693,3492.67,3492.712,3492.733,3492.715,3492.588,3492.613,3493.093,3492.469,3492.606,3492.531,3492.799,3492.84,3493.041,3492.628,3493.01,3492.81,3492.495,3492.56,3492.694,3492.596,3492.682,3492.863,3492.841,3492.93
0.0,0.356,3492.631,0.0,0.064,0.041,0.079,0.062,0.056,0.083,0.106,0.087,0.064,0.192,0.485,0.218,0.142,0.255,0.283,0.319,0.465,0.022,0.389,0.275,0.154,0.182,0.1,0.163,0.31,0.339,0.248,0.317
0.0,0.383,3492.69,0.064,0.0,0.046,0.059,0.034,0.069,0.049,0.071,0.024,0.125,0.183,0.438,0.279,0.185,0.304,0.275,0.306,0.428,0.062,0.34,0.263,0.218,0.193,0.103,0.206,0.331,0.322,0.218,0.273
0.0,0.34,3492.669,0.041,0.046,0.0,0.038,0.025,0.025,0.043,0.066,0.062,0.087,0.215,0.444,0.238,0.138,0.258,0.249,0.283,0.424,0.055,0.349,0.239,0.183,0.214,0.066,0.16,0.29,0.302,0.208,0.276
0.0,0.328,3492.703,0.079,0.059,0.038,0.0,0.026,0.034,0.016,0.03,0.06,0.116,0.242,0.407,0.26,0.144,0.265,0.217,0.249,0.386,0.093,0.312,0.206,0.212,0.246,0.046,0.165,0.274,0.267,0.17,0.238
0.0,0.35,3492.693,0.062,0.034,0.025,0.026,0.0,0.039,0.022,0.046,0.041,0.112,0.215,0.424,0.262,0.157,0.277,0.244,0.275,0.407,0.071,0.328,0.232,0.207,0.221,0.069,0.178,0.297,0.293,0.193,0.257
0.0,0.315,3492.67,0.056,0.069,0.025,0.034,0.039,0.0,0.048,0.064,0.081,0.082,0.239,0.437,0.226,0.117,0.238,0.227,0.263,0.412,0.075,0.344,0.219,0.177,0.236,0.044,0.139,0.265,0.283,0.194,0.268
0.0,0.343,3492.712,0.083,0.049,0.043,0.016,0.022,0.048,0.0,0.024,0.045,0.128,0.233,0.402,0.274,0.16,0.281,0.226,0.256,0.385,0.093,0.306,0.213,0.223,0.241,0.061,0.182,0.288,0.273,0.172,0.234
0.0,0.335,3492.733,0.106,0.071,0.066,0.03,0.046,0.064,0.024,0.0,0.061,0.146,0.253,0.379,0.287,0.166,0.286,0.207,0.235,0.361,0.117,0.283,0.193,0.241,0.264,0.06,0.187,0.279,0.252,0.148,0.211
0.0,0.388,3492.715,0.087,0.024,0.062,0.06,0.041,0.081,0.045,0.061,0.0,0.146,0.194,0.417,0.299,0.198,0.319,0.268,0.295,0.409,0.086,0.318,0.253,0.24,0.209,0.106,0.219,0.334,0.311,0.203,0.253
0.0,0.315,3492.588,0.064,0.125,0.087,0.116,0.112,0.082,0.128,0.146,0.146,0.0,0.239,0.516,0.155,0.095,0.197,0.279,0.319,0.486,0.079,0.424,0.276,0.096,0.216,0.111,0.113,0.276,0.341,0.268,0.348
